DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon
SA,1,NA,231,1537,239,5.487394957983193,36,11,480,1110,20,TRUE,TRUE,1,Washington St opp Ruggles St,,,42.330957,-71.082754
SA,10,NA,236,1480,59,21.448275862068964,127,34.300000000000004,480,1110,20,TRUE,FALSE,10,Theo Glynn Way @ Newmarket Sq,,,42.330555,-71.068787
SA,10000,NA,308,1495,34,35.96969696969697,45,45,480,1110,20,TRUE,FALSE,10000,Tremont St opp Temple Pl,,,42.355692,-71.062911
SA,10003,NA,282,1539,150,8.436241610738255,36,13,480,1110,20,TRUE,TRUE,10003,Albany St opp Randall St,,,42.331591,-71.076237
SA,10005,NA,357,1541,93,12.869565217391305,40,25,480,1110,20,TRUE,TRUE,10005,Albany St opp E Concord St,,,42.335017,-71.07128
SA,10006,NA,357,1541,36,33.82857142857143,49,45,480,1110,20,TRUE,FALSE,10006,Albany St opp E Newton St,,,42.335814,-71.070135
SA,10007,NA,358,1542,36,33.82857142857143,49,45,480,1110,20,TRUE,FALSE,10007,540 Albany St opp Wareham St,,,42.338372,-71.066556
SA,10008,NA,358,1542,36,33.82857142857143,49,45,480,1110,20,TRUE,FALSE,10008,Albany St opp Randolph St,,,42.339915,-71.064356
SA,10009,NA,407,1382,13,81.25,120,120,480,1110,20,TRUE,FALSE,10009,High St @ Duck Lane,,,42.214986,-70.915924
SA,10010,NA,237,1397,21,58,346,54.1,480,1110,20,TRUE,FALSE,10010,Southampton St @ Newmarket St,,,42.330944,-71.064621
SA,10011,NA,303,1483,36,33.714285714285715,45,45,480,1110,20,TRUE,FALSE,10011,Albany St @ Randolph St,,,42.340162,-71.064227
SA,10012,NA,303,1483,36,33.714285714285715,46,45,480,1110,20,TRUE,FALSE,10012,Albany St @ Wareham St,,,42.338361,-71.066667
SA,10013,NA,303,1483,36,33.714285714285715,46,45,480,1110,20,TRUE,FALSE,10013,Albany St @ E Dedham St,,,42.337556,-71.067875
SA,10014,NA,356,1540,93,12.869565217391305,40,26,480,1110,20,TRUE,TRUE,10014,Albany St opp Boston Medical,,,42.334117,-71.07251
SA,10015,NA,304,1513,92,13.285714285714286,43,28,480,1110,20,TRUE,TRUE,10015,Harrison Ave @ E Newton St,,,42.337402,-71.072162
SA,10031,NA,347,1529,141,8.442857142857143,30,18,480,1110,20,TRUE,TRUE,10031,E 1st St @ P St,,,42.338307,-71.027132
SA,10032,NA,347,1530,141,8.45,30,18,480,1110,20,TRUE,TRUE,10032,E 1st St opp O St,,,42.338274,-71.029203
SA,10033,NA,311,1473,142,8.24113475177305,25,20,480,1110,20,TRUE,TRUE,10033,E 1st St @ O St,,,42.338176,-71.029444
SA,101,NA,293,1515,114,10.814159292035399,20,14,480,1110,20,TRUE,TRUE,101,Massachusetts Ave @ Sidney St,,,42.362988,-71.099486
SA,10100,NA,320,1527,113,10.776785714285714,20,14,480,1110,20,TRUE,TRUE,10100,Albany St @ Randall St,,,42.331675,-71.076347
SA,10101,NA,321,1528,113,10.776785714285714,20,14,480,1110,20,TRUE,TRUE,10101,Melnea Cass Blvd @ Harrison Ave,,,42.332066,-71.079147
SA,102,NA,295,1516,114,10.805309734513274,20,14,480,1110,20,TRUE,TRUE,102,Massachusetts Ave @ Prospect St,,,42.365291,-71.103404
SA,1026,NA,333,1479,50,23.387755102040817,61,40,480,1110,20,TRUE,FALSE,1026,Chestnut Hill Ave @ Veronica Smith Ctr,,,42.348296,-71.153761
